name,vicinity,place_id,lat,lng
Starbucks,"Blvd. José Limon Lote D, Parque Canacintra I, Humaya, Culiacán Rosales",ChIJ8Z9k3XXavIYRukfkt1yXLAM,24.8140229,-107.4136996
Carl's Jr.,"Blvd. José Limon 931, Infonavit Humaya, Parque Canacintra I, Culiacán Rosales",ChIJmQnR7MDbvIYR9KL1xaBYHpk,24.8147161,-107.414442
Lowe's Home Improvement,"16510 Southwest Fwy, Sugar Land",ChIJU_QttrvmQIYR-ghUilA8Rng,29.593561,-95.63178700000002
Lowe's Home Improvement,"28005 Southwest Fwy, Rosenberg",ChIJjagRYnscQYYReBiNtXAa3Jw,29.5297948,-95.80646689999999
Lowe's Home Improvement,"4645 Beechnut St, Houston",ChIJj0SQA-jBQIYR4JEnNTT-FyE,29.687873,-95.45631
Lowe's Home Improvement,"19935 Katy Fwy, Houston",ChIJrV6cdpbYQIYRvmjDWGkQcsY,29.782991,-95.713652
Lowe's Home Improvement,"2610 S Kirkwood Rd, Houston",ChIJsVS7LOzcQIYRStMKCR3XPms,29.735016,-95.591504
Lowe's Home Improvement,"9640 Katy Rd, Houston",ChIJNaeOepLEQIYR_sdjKkf7Dm0,29.7864116,-95.528157
Lowe's Home Improvement,"9505 Spring Green Blvd, Katy",ChIJiWy-UCgiQYYRNbQ0CnvAkwE,29.6994567,-95.81580819999999
Lowe's Home Improvement,"3807 FM 1092 Rd, Missouri City",ChIJcbNAM_blQIYRQ_hfRRH2xqw,29.566841,-95.561858
Lowe's Home Improvement,"200 TX-332, Lake Jackson",ChIJzWZckcJDQIYRTs6Tetg0Lj8,29.0420627,-95.4559173
Lowes Family Center #115,"833 Dill St, East Bernard",ChIJ9VGmtC5tQYYRH0sEZ9zp3to,29.5217303,-96.0678782
Lowe's Rental,"28005 Southwest Fwy, Rosenberg",ChIJY4ywNmYdQYYRIk4Zz6sAJ6E,29.5296865,-95.80536599999999
Lowe's ProServices,"9505 Spring Green Blvd, Katy",ChIJ1Wn0sykiQYYRr9XgQBItnCs,29.6994138,-95.8159518
Lowe's ProServices,"4645 Beechnut St, Houston",ChIJi3BjUN3BQIYRWruYvCw3A3k,29.687576,-95.456738
Lowe's Rental,"3807 1092 Rd, Missouri City",ChIJ5ZXLEwHlQIYRKaqg1Z57gtQ,29.5665089,-95.561099
Lowe's ProServices,"28005 Southwest Fwy, Rosenberg",ChIJaaMef3scQYYRzYjyMLKwNdY,29.52941389999999,-95.8062315
Lowe's ProServices,"2610 S Kirkwood Rd, Houston",ChIJvZTp2O3cQIYRrxiwPgya934,29.7349652,-95.5916396
Lowe's ProServices,"19935 Katy Fwy, Houston",ChIJiW-3wpXYQIYREl1IV_Xmt4c,29.7830118,-95.7134914
Lowe's Garden Center,"9505 Spring Green Blvd, Katy",ChIJhRpzsykiQYYRfj4ZUoUou-4,29.6990013,-95.8155764
Lowe's Market,"3214 School St, Needville",ChIJ7-sVSTwEQYYRot--1Ko4VXc,29.398969,-95.8385569
Lowe's ProServices,"9640 Katy Fwy, Houston",ChIJvVXIqY3EQIYRD7pGrWrQDQQ,29.7861224,-95.5284621
Lowe's ProServices,"16510 Southwest Fwy, Sugar Land",ChIJpcicz7vmQIYRl9c1NjjEhYc,29.5935496,-95.6320381
Lowe's ProServices,"3807 FM 1092 Rd, Missouri City",ChIJC-J63vflQIYRtKdK766lE0M,29.5661846,-95.5629597
Lowe's Garden Center,"9640 Old Katy Rd, Houston",ChIJk68qu43EQIYRd3G6iCVstCw,29.7860624,-95.52837400000001
